"author","title","link"
"Rabbi Avishai David","Parshas Toldos","https://www.yutorah.org/lectures/details?shiurid=799611"
"Rabbi Steven Pruzansky","Midrash Parshat Toldot","https://www.yutorah.org/lectures/details?shiurid=799659"
"Rabbi Efrem Goldberg","Parshas Toldos: Yitzchak as the Paradigmatic Role Player","https://www.yutorah.org/lectures/details?shiurid=799622"
"Rabbi Yonason Sacks","Zerah vs. Ben- Understanding the Difference Between Yaakov and Esav","https://www.yutorah.org/lectures/details?shiurid=799632"
"Rabbi Moshe Taragin","Hunter and Deceiver","https://www.yutorah.org/lectures/details?shiurid=799643"
"Rabbi Jason Finkelstein","Ramban Toldos","https://www.yutorah.org/lectures/details?shiurid=799675"
"Rabbi Ari Zahtz","Ramban Toldos","https://www.yutorah.org/lectures/details?shiurid=799690"
"Rabbi Josh Strulowitz","Toldos: Why Yitzchak Chose Eisav","https://www.yutorah.org/lectures/details?shiurid=800141"
"Rabbi Dr. Jonathan Schwartz","A Point to Ponder - Toldos 5774","https://www.yutorah.org/lectures/details?shiurid=799706"
"Rabbi Moshe Teitelbaum","Pri Tzadik - Toldot","https://www.yutorah.org/lectures/details?shiurid=799742"
"Rabbi Eliakim Koenigsberg","Sichas Mussar: The Real Power Player","https://www.yutorah.org/lectures/details?shiurid=799753"
"Rabbi Chaim Brovender","Mouth Traps (Tzayid BeFiv)","https://www.yutorah.org/lectures/details?shiurid=799757"
"Rabbi Dovid Hirsch","Parshas Toldos 5774","https://www.yutorah.org/lectures/details?shiurid=799896"
"Rabbi Michael Taubes","Parshas Toldos Berachos on Smelling Fruits","https://www.yutorah.org/lectures/details?shiurid=799969"
"Rabbi Azarya Berzon","Parshat Toldot: Two approaches to ""Avraham Holid et Yitzchok"", a short Mussar Shmooze on fatherhood and on the destructive force of Cynicism","https://www.yutorah.org/lectures/details?shiurid=800064"
"Rabbi Reuven Spolter","Parshat Toldot - Blind to the Truth","https://www.yutorah.org/lectures/details?shiurid=799760"
"Rabbi Dovid Rosman","Parshas Toldos: Developing Unity","https://www.yutorah.org/lectures/details?shiurid=799769"
"Rabbi Shay Schachter","Chiyuv Kriyah Upon the Loss of Life","https://www.yutorah.org/lectures/details?shiurid=799776"
"Rabbi Avi Schneider","Parshas Toldos; On Second Thought","https://www.yutorah.org/lectures/details?shiurid=799791"
"Rabbi Aryeh Lebowitz","Toldos Derasha - Otherworldly Emes","https://www.yutorah.org/lectures/details?shiurid=799796"
"Rabbi Moshe Tzvi Weinberg","Sfas Emes - Toldos 5774 - A Love Like No Other","https://www.yutorah.org/lectures/details?shiurid=799801"
"Yishai Fleisher","Netivot Shalom Pashat Toldot (2013)","https://www.yutorah.org/lectures/details?shiurid=799803"
"Rabbi Ben Leybovich","Parshas Toldos 5774","https://www.yutorah.org/lectures/details?shiurid=799818"
"Rabbi Zvi Romm","Rabbeinu Bechayeh on Toldos","https://www.yutorah.org/lectures/details?shiurid=799838"
"Rabbi Andi Yudin","Parshas Toldos; What Was so Bad About Eisav?!","https://www.yutorah.org/lectures/details?shiurid=799846"
"Rabbi Netanel Wiederblank","What's so special of the tefillos of a tzadik ben tzadik?","https://www.yutorah.org/lectures/details?shiurid=799874"
"Rabbi Aaron Kraft","Isn't Yaakov the Truthful One?","https://www.yutorah.org/lectures/details?shiurid=800449"
"Rabbi Yehuda Goldschmidt","Parshas Toldos; What Do You Value?!","https://www.yutorah.org/lectures/details?shiurid=799842"
"Rabbi Elly Storch","Rome Wasn't Built in a Day","https://www.yutorah.org/lectures/details?shiurid=799863"
"Rabbi Allen Schwartz","The Boys Struggled Inside Her: Is the Conflict Between Yaacov and Esav Inevitable","https://www.yutorah.org/lectures/details?shiurid=799945"
"Rabbi Azarya Berzon","Parshat Toldot: What message inheres in the Parsha of the wells of Yitzchok?","https://www.yutorah.org/lectures/details?shiurid=800075"
"Rabbi Azarya Berzon","Parshat Toldot & Vayeitzei: Sichot Mussar of Rav Chaim Shmuelevitz on the complex personality","https://www.yutorah.org/lectures/details?shiurid=800128"
"Rabbi Azarya Berzon","Parshat Toldot: which prayer is more powerful? That of the Tzadik ben Tzaddik, or that of the Tzadik ben Rasha?","https://www.yutorah.org/lectures/details?shiurid=800136"
"Rabbi Binny Freedman","Yitzchak - Continuing the Legacy","https://www.yutorah.org/lectures/details?shiurid=800754"
"Rabbi Daniel Fridman","Who was Eisav? Part 1","https://www.yutorah.org/lectures/details?shiurid=800344"
"Mrs. Rebecca Belizon","Why were the Matriarchs barren? Achieving effective Tefila.","https://www.yutorah.org/lectures/details?shiurid=803240"
"Rabbi Azarya Berzon","Parsha and Hashkafa for Parshat Tetzaveh: The Hidden Meaning of the Bigdei Kehuna","https://www.yutorah.org/lectures/details?shiurid=806296"
"Rabbi Jonathan Bienenfeld","Mishkan, Mikdash, Medinah: The Importance of Political Independence","https://www.yutorah.org/lectures/details?shiurid=809742"
"Mrs. Rebecca Belizon","The unique relationship between Rivka and Yitzchak","https://www.yutorah.org/lectures/details?shiurid=810721"
"Rabbi Shay Schachter","Don't Let it Get to Your Head!","https://www.yutorah.org/lectures/details?shiurid=814597"
